hoard;mint;num_coins;year
Italia;Anatolia;2;465
Italia;Anatolia;10;465
Italia;Anatolia;1;465
Italia;Anatolia;7;482
Italia;Anatolia;3;482
Italia;Anatolia;1;475
Italia;Anatolia;11;504
Italia;Anatolia;1;453
Italia;"Iberian Peninsula";3;350
Italia;"Iberian Peninsula";1;350
Italia;"Iberian Peninsula";4;490
Italia;"Iberian Peninsula";10;509
Italia;"Iberian Peninsula";5;350
Italia;"Iberian Peninsula";1;415
Italia;"Iberian Peninsula";1;440
Italia;Italia;1;430
Italia;Italia;1;435
Italia;Anatolia;1;453
Italia;"Iberian Peninsula";3;450
Italia;Anatolia;1;465
Italia;Anatolia;1;475
Italia;Anatolia;1;482
Italia;Italia;1;484
Italia;Italia;2;484
Italia;"Iberian Peninsula";7;450
Italia;"Iberian Peninsula";13;450
Italia;"Iberian Peninsula";1;504
Italia;Italia;1;507
Italia;Italia;1;507
Italia;"Iberian Peninsula";4;450
Italia;"Iberian Peninsula";3;450
Italia;"Iberian Peninsula";8;450
Italia;Italia;1;539
Italia;Italia;4;547
Italia;"Iberian Peninsula";1;350
Italia;"Iberian Peninsula";8;350
Italia;"Iberian Peninsula";8;350
Italia;Anatolia;1;430
Italia;Italia;1;442
Italia;Anatolia;1;453
Italia;"Iberian Peninsula";5;453
Italia;Italia;1;464
Italia;Anatolia;1;465
Italia;"Iberian Peninsula";1;474
Italia;Italia;1;469
Italia;"Iberian Peninsula";13;450
Italia;Italia;1;501
Italia;"Iberian Peninsula";25;450
Italia;Tunisia;1;535
Italia;Italia;3;542
Italia;"Iberian Peninsula";1;350
Italia;"Iberian Peninsula";1;350
Italia;"Iberian Peninsula";1;450
Cyprus;Anatolia;1;654
Cyprus;Anatolia;246;641
Cyprus;Anatolia;6;654
Cyprus;Anatolia;13;654
Cyprus;Anatolia;11;650
Cyprus;Anatolia;5;650
Cyprus;Anatolia;4;650
Cyprus;Anatolia;1;676
Cyprus;Cyprus;5;654
Cyprus;Anatolia;8;690
Cyprus;Anatolia;4;696
Cyprus;Anatolia;2;701
Cyprus;Anatolia;9;701
Cyprus;Anatolia;2;758
Italia;Italia;1;373
Egypt;Ethiopia;1;270
Anatolia;Anatolia;8;358
Anatolia;Anatolia;1;358
Anatolia;Anatolia;27;361
Anatolia;Anatolia;1;361
Anatolia;Anatolia;2;361
